,time,id,like,text
0,Tue Nov 30 23:59:59 +0000 2021,1465833017730117636,0,"THE ""TV CUOMO BROTHER"" LIED ABOUT GETTING COVID EARLY IN PANDEMIC! NO CONCEQUENCES! STILL ON THE AIR! ""MEDIA IS FAKE!"""
1,Tue Nov 30 23:59:59 +0000 2021,1465833017520406530,0,"@theJeremyVine Astra Zeneca first, felt total rubbish day after, headache, shivering etc, 2nd AZ felt fine apart from sore arm, Pfizer booster knocked me for six, in bed shivering, aching, worse than the first, fortunately I could work from home. Got to go in tomorrow @mdaupdates"
2,Tue Nov 30 23:59:59 +0000 2021,1465833015129436160,0,"@StateDept 'Gayle Smith’s Service as the Coordinator for Global COVID-19 Response and Health Security' The wrong person for a critical role the US must play! Gayle is Mama TPLF, and Africans do not trust her! #UnityForEthiopia #NoMore #TPLFSURRENDERNOW #EthiopiaPrevails"
3,Tue Nov 30 23:59:59 +0000 2021,1465833014299181060,1,@CoachDuggs Vaccination booth?
4,Tue Nov 30 23:59:58 +0000 2021,1465833011270852609,2,"@WOLF_Financial Back when I was coaching youth robotics there weren't many charities dedicated exclusively to supporting teams, so we started our own 501c3.  Our teams lost a season to Covid, but we're back on the mend and the next school year should be awesome!"
5,Tue Nov 30 23:59:58 +0000 2021,1465833010129997828,0,@_Skippp__ lmaooo bitch we broke up the fall before covid. that ain’t 8 years but go off sis. lol you just be dramatic at times is all😂😂
6,Tue Nov 30 23:59:58 +0000 2021,1465833009614053384,249,COVID is not Polio. https://t.co/Hp6nWHTYVZ
7,Tue Nov 30 23:59:57 +0000 2021,1465833006611021826,0,@waltergross Well I’ve been first hand watching covid kill people for 20 mos and find the vaccine a life saver. Just like many vaccines in the past. I’m so personally grateful for them.
8,Tue Nov 30 23:59:57 +0000 2021,1465833005826592775,0,"@HostilGanso @raush_mary @CharlieCrist I think conspiracy already hit you ..but hey you want more dead from the COVID, keep spreading disinformation."
9,Tue Nov 30 23:59:57 +0000 2021,1465833005822275585,6,@RockStarPreach @NewsroomGC @CPHO_Canada @TheLancet @US_FDA @RepThomasMassie @GovCanHealth @elonmusk Covaxin is permitted as of today as an acceptable vaccine for travel. https://t.co/Ja65iIptMU
10,Tue Nov 30 23:59:56 +0000 2021,1465833005100896256,0,"@JesseSpots @birbigs @CityHarvest Here’s a *story* about the term “food insecurity” (which was coined by Kissinger in the 1970’s).   The STORY is from 2017.   “Rolled out during COVID”, eh?  https://t.co/uUI7YnkL7Q"
11,Tue Nov 30 23:59:56 +0000 2021,1465833003301564417,1,Anti-vaccine Christian broadcaster Marcus Lamb dies after Covid battle https://t.co/r9cVyr21Vw via @nbcnews
12,Tue Nov 30 23:59:56 +0000 2021,1465833002940854273,5,remember when we weren’t allowed to sit at the beach bc covid
13,Tue Nov 30 23:59:56 +0000 2021,1465833001774899201,0,@RepJohnRose What is your Covid protocol?  Have you all been vaccinated?
14,Tue Nov 30 23:59:56 +0000 2021,1465833001451982848,0,@LnxVert @TheRealRalphC @LakersReporter Pray for LeBron 🙏. He's immunocompromised. So old he can't fight COVID even with a vaccine.
15,Tue Nov 30 23:59:55 +0000 2021,1465833000889774080,11,"@BJNTTWM @Daystar This was entirely avoidable. Sad this mentality of no don’t want or need the vaccine, COVID isn’t that bad, resulting in a person’s life lost needlessly, family destroyed by a preventable solution. These people owe it to their viewers, friends and family to get the damn vaccine."
16,Tue Nov 30 23:59:55 +0000 2021,1465832998750859273,0,@the_magrathean @paul_woodcraft I know right. Everyone should be cautiously celebrating this. Not going into mental covid panic again.
17,Tue Nov 30 23:59:54 +0000 2021,1465832995852595200,4,"Unjabbed over-60s in Greece must get vaccinated or face a monthly fine of 100 euros, it has been announced. https://t.co/2deMWpAxQv"
18,Tue Nov 30 23:59:54 +0000 2021,1465832994808254464,1,FOX Nation’s Lara Logan Argues Against Testing For Covid-19 Coronavirus Variants https://t.co/7O1sDbQ7WS https://t.co/8ZqFEo1Ky9
19,Tue Nov 30 23:59:54 +0000 2021,1465832993092775940,0,@ChrisCillizza The disconnect between leftist opinion writers like you and regular Americans is striking.  You are currently fixated on scaremongering on COVID. Regular Americans are watching Smollett to see if justice will hold a black racist accountable. Get a grip.
20,Tue Nov 30 23:59:53 +0000 2021,1465832990777434114,2,"Covid is endemic and everyone is basically going to get it. Logically this process began with vaccines. Yet here we suddenly are with rules coming back and the lockdown fanatics screaming for more. Under their logic , this only ends when Covid ends. And it never will."
21,Tue Nov 30 23:59:53 +0000 2021,1465832990370676738,2,‘Horrific and disturbing’: Hospitalized patients at Jesse Brown VA Medical Center contract COVID-19 https://t.co/RXQteDb0Pu via @SunTimes
22,Tue Nov 30 23:59:52 +0000 2021,1465832985983344644,1,"@Billius27 France, like other countries, extended COVID-19 booster shots to 18+ five months after the second dose. In Canada? Zero, zilch, nothing. 3rd dose is forbidden and banned like an illegal substance. Crazy.  https://t.co/WTBCt6yMYw"
23,Tue Nov 30 23:59:52 +0000 2021,1465832985337417734,6,"@Julius_Kim @auntmaggiep I'd tweak your message to: ""We can't get back to normal until we get a grip on COVID. That won't happen until we all stay masked until the vaccination rate is over 90%. Republicans, how are you planning to help us achieve that?"""
24,Tue Nov 30 23:59:51 +0000 2021,1465832983047385100,0,"instead of giving them unemployment benefits, why don't they just pay for their hospital bill when they contract Covid?  Here are all the states providing unemployment benefits for people who quit or were fired because they refused to get vaccinated https://t.co/vp4uy9tCrk"
25,Tue Nov 30 23:59:51 +0000 2021,1465832981893836803,1,Total Confirmed Covid Cases by County For LA   2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/36o3Bjikau
26,Tue Nov 30 23:59:51 +0000 2021,1465832980635701261,0,"@Ayyo_Bvndo @JohnKluppy @BillyReinhardt Caronaviruses have always existed, and scientists for as long as I know, have studied them in anticipation of preventing a pandemic such as COVID-19. ""Man made"" is a reach/leap."
27,Tue Nov 30 23:59:50 +0000 2021,1465832978974752768,1,I need to discuss how this covid booster had me fatigued for like 3 days no lie. The scientist in me is intrigued and individual body responses to this vaccine. My brother and I literally slept two days straight. My mom and my grandma? Not a care in the world lmao they were fine
28,Tue Nov 30 23:59:50 +0000 2021,1465832977573756939,0,How Federal Prisons Became Coronavirus Death Traps  https://t.co/9DyCFgy62W
29,Tue Nov 30 23:59:50 +0000 2021,1465832977204613126,1,COVID-19: Eight further cases of new Omicron variant identified in England - bringing UK total to 22 | UK News | Sky News https://t.co/2yGE5u7twg
30,Tue Nov 30 23:59:49 +0000 2021,1465832975262785541,2,@ZealouslyQuoted Why is her account still active? I got thrown into @Twitter jail for using the phrase “Covid idiots” against Covid deniers/anti vaxxers!
31,Tue Nov 30 23:59:49 +0000 2021,1465832972561657864,1,BioNTech boss says 'don't freak out' about Omicron as Pfizer jab likely to protect against severe COVID https://t.co/s0GQmRZBUn
